,0,1
0,Omar Uresti,1
1,Joe Durant,2
2,Brian Gay,3
3,Tim Clark,4
4,Craig Bowden,5
5,Heath Slocum,6
6,David Toms,7
7,Zach Johnson,8
8,Ben Crane,9
9,Jim Furyk,10
10,Richard Johnson,11
11,Paul Goydos,12
12,Jerry Kelly,13
13,Garrett Willis,14
14,Jeff Quinney,15
15,Alex Cejka,16
16,Billy Mayfair,17
17,Chris DiMarco,18
18,Ben Curtis,19
19,Jay Williamson,20
20,Skip Kendall,21
21,Justin Leonard,22
22,John Mallinger,23
23,Jason Dufner,24
24,Chad Campbell,25
25,Mark Wilson,26
26,Chris Riley,27
27,Cliff Kresge,28
28,Tom Gillis,29
29,Steve Stricker,30
30,Brian Davis,31
31,Rocco Mediate,32
32,Vaughn Taylor,33
33,Scott Verplank,34
34,Steve Elkington,35
35,Kenny Perry,36
36,Ryan Moore,36
37,Hunter Mahan,38
38,Matt Kuchar,39
39,Jeff Maggert,40
40,Tim Petrovic,41
41,Dean Wilson,41
42,Scott McCarron,43
43,Brent Delahoussaye,44
44,Aron Price,45
45,John Senden,46
46,Boo Weekley,47
47,Tom Pernice Jr.,48
48,Kevin Sutherland,49
49,Jason Bohn,49
50,Kris Blanks,51
51,Blake Adams,52
52,John Merrick,53
53,Woody Austin,54
54,Stephen Ames,55
55,Kevin Na,56
56,Will MacKenzie,57
57,Justin Bolli,58
58,Steve Flesch,59
59,K.J. Choi,60
60,Charles Warren,61
61,Chris Couch,62
62,James Nitties,63
63,Kevin Streelman,64
64,Brendon de Jonge,65
65,Briny Baird,66
66,Rod Pampling,66
67,Paul Stankowski,68
68,Mathew Goggin,69
69,Pat Perez,70
70,Bo Van Pelt,70
71,Justin Rose,72
72,Spencer Levin,73
73,J.J. Henry,74
74,J.P. Hayes,75
75,Retief Goosen,76
76,Robert Allenby,77
77,Henrik Bjornstad,78
78,Graham DeLaet,78
79,John Rollins,80
80,D.A. Points,81
81,Y.E. Yang,82
82,Mathias Grönberg,83
83,Brandt Snedeker,84
84,Davis Love III,85
85,Charlie Wi,86
86,Rickie Fowler,86
87,Bill Haas,88
88,Steve Wheatcroft,89
89,Trevor Immelman,90
90,Nicholas Thompson,91
91,Sean O'Hair,92
92,Stewart Cink,92
93,Kevin Johnson,94
94,Sergio Garcia,95
95,Cameron Beckman,96
96,Josh Teater,97
97,Michael Letzig,98
98,Jarrod Lyle,99
99,Michael Connell,99
100,Michael Sim,101
101,Vijay Singh,102
102,Bryce Molder,103
103,Ryuji Imada,104
104,Brian Stuard,105
105,Chris Tidland,106
106,Chris Stroud,107
107,Kevin Stadler,108
108,Jeff Gove,108
109,Adam Scott,110
110,Lucas Glover,111
111,Carl Pettersson,112
112,Ian Poulter,113
113,Shaun Micheel,114
114,Rory McIlroy,115
115,Nick Watney,116
116,Johnson Wagner,117
117,Roger Tambellini,118
118,Greg Kraft,119
119,Luke Donald,120
120,Mark Calcavecchia,121
121,Freddie Jacobson,122
122,Matt Every,123
123,Steve Marino,124
124,Steve Lowery,125
125,Camilo Villegas,126
126,Jerod Turner,126
127,Charley Hoffman,128
128,Jonathan Byrd,129
129,Greg Owen,130
130,Andrew McLardy,131
131,Bob Estes,132
132,D.J. Trahan,133
133,Paul Casey,134
134,Nathan Green,135
135,Jeev Milkha Singh,136
136,Bill Lunde,137
137,Garth Mulroy,138
138,Ted Purdy,139
139,Webb Simpson,140
140,Michael Bradley,141
141,Troy Matteson,142
142,Rory Sabbatini,143
