,0,1
0,Henrik Stenson,1
1,Ryan Armour,2
2,Chez Reavie,3
3,Ryan Moore,4
4,Brian Stuard,5
5,Brian Gay,6
6,Kyle Stanley,7
7,Emiliano Grillo,8
8,Russell Henley,9
9,Jim Furyk,10
10,Steve Wheatcroft,11
11,Kevin Streelman,12
12,C.T. Pan,13
13,David Lingmerth,14
14,Keegan Bradley,15
15,Rafa Cabrera Bello,16
16,Billy Horschel,17
17,Russell Knox,18
18,Ben Crane,19
19,Vaughn Taylor,20
20,Brian Harman,21
21,Sam Ryder,22
22,"Ted Potter, Jr.",23
23,Austin Cook,24
24,Tyler Duncan,25
25,David Hearn,26
26,Alex Cejka,27
27,Ian Poulter,28
28,Joel Dahmen,29
29,Kevin Kisner,30
30,J.J. Henry,31
31,J.J. Spaun,32
32,Justin Rose,33
33,Kelly Kraft,34
34,Conrad Shindler,35
35,Scott Piercy,36
36,Adam Hadwin,37
37,Ben Silverman,38
38,Satoshi Kodaira,39
39,Rickie Fowler,40
40,Xinjun Zhang,40
41,Kiradech Aphibarnrat,42
42,Pat Perez,43
43,Lucas Glover,44
44,Richy Werenski,44
45,Hunter Mahan,46
46,Francesco Molinari,46
47,Fabián Gómez,48
48,Tommy Fleetwood,49
49,Graeme McDowell,50
50,Louis Oosthuizen,51
51,Chad Campbell,52
52,Blayne Barber,53
53,Michael Thompson,54
54,Chris Kirk,55
55,Daniel Berger,56
56,Hudson Swafford,57
57,Bronson Burgoon,58
58,Brice Garnett,59
59,Ryan Blaum,60
60,Johnson Wagner,61
61,Kevin Na,62
62,Zach Johnson,63
63,John Huh,64
64,James Hahn,65
65,Gary Woodland,66
66,Rod Pampling,66
67,Cameron Percy,68
68,Abraham Ancer,69
69,Ben Martin,70
70,Branden Grace,71
71,Denny McCarthy,72
72,Aaron Wise,73
73,Jason Dufner,74
74,Matt Kuchar,75
75,Martin Laird,76
76,Roberto Díaz,77
77,Paul Casey,78
78,Kyle Thompson,79
79,Corey Conners,79
80,Troy Merritt,81
81,Andrew Landry,82
82,Hideki Matsuyama,83
83,Brandt Snedeker,84
84,Zac Blair,85
85,Danny Lee,86
86,Charles Howell III,87
87,Adam Scott,88
88,Tom Hoge,89
89,Webb Simpson,90
90,Chris Stroud,91
91,Bryson DeChambeau,92
92,Jonathan Randolph,93
93,Rory Sabbatini,94
94,Scott Brown,95
95,Tyrrell Hatton,96
96,Alex Noren,97
97,Patrick Cantlay,98
98,Jordan Spieth,99
99,J.T. Poston,100
100,Kevin Chappell,101
101,Shane Lowry,102
102,Patrick Rodgers,103
103,Whee Kim,104
104,Nick Taylor,105
105,Bud Cauley,106
106,Si Woo Kim,107
107,Nate Lashley,108
108,Brendan Steele,109
109,D.A. Points,109
110,Beau Hossler,109
111,Nicholas Lindheim,112
112,Andrew Putnam,113
113,Jonas Blixt,114
114,Ethan Tracy,115
115,Byeong Hun An,116
116,Marc Leishman,117
117,Sam Saunders,118
118,Anirban Lahiri,119
119,Sean O'Hair,119
120,Chesson Hadley,121
121,Mackenzie Hughes,122
122,William McGirt,123
123,Xander Schauffele,124
124,Dustin Johnson,125
125,Matt Jones,126
126,Tiger Woods,127
127,Billy Hurley III,128
128,Jon Rahm,129
129,Ryan Palmer,130
130,Harold Varner III,131
131,Harris English,132
132,Greg Chalmers,133
133,Stephan Jaeger,134
134,Keith Mitchell,135
135,Jonathan Byrd,135
136,Martin Piller,137
137,Justin Thomas,138
138,Brett Stegmaier,139
139,Charley Hoffman,140
140,Jason Day,141
141,Bubba Watson,142
142,Jason Kokrak,143
