,0,1
0,David Toms,1
1,Tim Clark,2
2,Justin Hicks,3
3,Jim Furyk,4
4,Heath Slocum,5
5,Zach Johnson,6
6,Billy Hurley III,7
7,Ken Duke,8
8,Ryan Moore,9
9,Boo Weekley,10
10,"Ted Potter, Jr.",11
11,Graeme McDowell,12
12,Jeff Maggert,13
13,Henrik Stenson,14
14,John Merrick,15
15,Kevin Streelman,16
16,Brendon de Jonge,17
17,Russell Knox,18
18,David Hearn,19
19,Matt Kuchar,20
20,Brian Davis,21
21,Nicholas Thompson,22
22,Billy Horschel,23
23,Mark Wilson,24
24,John Huh,25
25,Scott Brown,26
26,Jerry Kelly,27
27,D.H. Lee,28
28,Ben Crane,29
29,Daniel Summerhays,30
30,Andrew Svoboda,31
31,Brian Stuard,31
32,William McGirt,33
33,Y.E. Yang,34
34,Chad Campbell,35
35,Hunter Mahan,36
36,Danny Lee,37
37,Justin Leonard,38
38,Jason Bohn,39
39,Spencer Levin,40
40,Kevin Chappell,41
41,Brendon Todd,42
42,Ben Curtis,43
43,Will MacKenzie,44
44,Derek Ernst,45
45,J.J. Henry,46
46,Ben Martin,47
47,Kevin Na,48
48,Kevin Stadler,49
49,Hudson Swafford,49
50,John Senden,51
51,K.J. Choi,52
52,Shawn Stefani,53
53,Lucas Glover,54
54,John Peterson,55
55,Nick Watney,56
56,Chris Stroud,57
57,Cameron Tringale,58
58,Jason Dufner,59
59,Brandt Snedeker,60
60,Briny Baird,60
61,Russell Henley,62
62,Roberto Castro,63
63,Bill Haas,64
64,Bo Van Pelt,65
65,Chris Kirk,66
66,D.A. Points,67
67,Luke Donald,67
68,Keegan Bradley,69
69,Webb Simpson,70
70,George McNeill,71
71,Michael Thompson,71
72,Sergio Garcia,73
73,Jim Herman,74
74,Graham DeLaet,75
75,Brian Gay,76
76,Richard Lee,77
77,Jonathan Byrd,78
78,Hideki Matsuyama,79
79,Adam Scott,80
80,Robert Allenby,81
81,Woody Austin,82
82,Kevin Kisner,83
83,Troy Merritt,83
84,Will Wilcox,85
85,Sangmoon Bae,86
86,Ian Poulter,87
87,Martin Kaymer,88
88,Martin Laird,89
89,Kyle Stanley,89
90,Josh Teater,91
91,Lee Westwood,91
92,Jhonattan Vegas,93
93,Michael Putnam,94
94,Scott Langley,94
95,Wes Roach,96
96,Brian Harman,97
97,Louis Oosthuizen,98
98,James Hahn,99
99,Vijay Singh,100
100,Paul Casey,101
101,Bubba Watson,102
102,Stuart Appleby,103
103,Brad Fritsch,104
104,Pat Perez,105
105,Camilo Villegas,106
106,Harris English,106
107,Rickie Fowler,108
108,Rory McIlroy,108
109,Gonzalo Fernandez-Castaño,108
110,Justin Rose,111
111,David Lingmerth,112
112,John Rollins,113
113,Bronson La'Cassie,114
114,Chad Collins,115
115,Robert Streb,116
116,Tim Wilkinson,117
117,Brendan Steele,117
118,Bryce Molder,119
119,Gary Woodland,119
120,Stewart Cink,121
121,Charl Schwartzel,121
122,Freddie Jacobson,123
123,Davis Love III,124
124,Charlie Beljan,125
125,Luke Guthrie,126
126,Kevin Tway,127
127,Brice Garnett,128
128,Carl Pettersson,129
129,Jordan Spieth,129
130,Jason Day,131
131,Charley Hoffman,132
132,Ryan Palmer,133
133,Geoff Ogilvy,134
134,Greg Chalmers,134
135,Trevor Immelman,136
136,Matt Jones,136
137,Erik Compton,138
138,Ángel Cabrera,139
139,Phil Mickelson,140
140,Marc Leishman,141
141,Tommy Gainey,142
142,Charlie Wi,143
