,0,1
0,Colt Knost,1
1,Thomas Aiken,2
2,Jerry Kelly,3
3,Brian Stuard,4
4,Zac Blair,5
5,Roberto Castro,6
6,Jim Furyk,7
7,Russell Knox,8
8,John Huh,9
9,Chez Reavie,10
10,David Toms,11
11,Spencer Levin,12
12,Graeme McDowell,13
13,Jason Bohn,14
14,David Lingmerth,15
15,Boo Weekley,16
16,Emiliano Grillo,17
17,Ryan Moore,18
18,Mark Wilson,19
19,K.J. Choi,20
20,David Hearn,21
21,Alex Cejka,22
22,Dicky Pride,23
23,Matt Kuchar,24
24,Jim Herman,25
25,Andrew Landry,26
26,Abraham Ancer,27
27,Billy Hurley III,28
28,Kevin Na,29
29,Kyle Reifers,30
30,William McGirt,31
31,Zach Johnson,32
32,Kevin Kisner,33
33,Mark Hubbard,34
34,Scott Langley,35
35,Paul Casey,36
36,Keegan Bradley,37
37,Kyle Stanley,38
38,Chad Campbell,39
39,Lucas Glover,40
40,Kevin Streelman,40
41,Jon Curran,42
42,Ken Duke,43
43,Danny Lee,44
44,Rod Pampling,45
45,Francesco Molinari,46
46,Scott Brown,47
47,Jason Gore,48
48,Adam Hadwin,49
49,Whee Kim,50
50,Brian Harman,51
51,Henrik Norlander,52
52,Steve Stricker,53
53,Ben Crane,54
54,Russell Henley,55
55,Scott Pinckney,56
56,Si Woo Kim,57
57,Jason Dufner,58
58,Bryce Molder,59
59,Blayne Barber,60
60,Tim Wilkinson,61
61,Bill Haas,62
62,Stuart Appleby,63
63,Rory Sabbatini,64
64,Webb Simpson,65
65,Ben Martin,66
66,Hideki Matsuyama,67
67,Chris Kirk,68
68,Shane Lowry,69
69,Sergio Garcia,70
70,Louis Oosthuizen,71
71,Vaughn Taylor,72
72,Fabián Gómez,73
73,Hudson Swafford,74
74,Geoff Ogilvy,75
75,Johnson Wagner,76
76,Rory McIlroy,77
77,George McNeill,78
78,Wes Roach,78
79,Brett Stegmaier,80
80,Troy Merritt,81
81,D.H. Lee,82
82,Will MacKenzie,83
83,Billy Horschel,84
84,James Hahn,84
85,Chris Stroud,86
86,Kevin Chappell,87
87,Padraig Harrington,88
88,Michael Thompson,89
89,Marc Leishman,90
90,Peter Malnati,91
91,Kelly Kraft,92
92,Steve Wheatcroft,93
93,Brendan Steele,94
94,Graham DeLaet,95
95,Derek Ernst,96
96,John Senden,97
97,Sam Saunders,98
98,Cameron Tringale,99
99,D.A. Points,100
100,Scott Piercy,101
101,Sung Kang,102
102,Will Wilcox,103
103,Harold Varner III,104
104,J.J. Henry,104
105,Jeff Overton,106
106,Greg Owen,107
107,Cameron Smith,108
108,Brendon de Jonge,109
109,Freddie Jacobson,110
110,Martin Piller,111
111,Sean O'Hair,112
112,Rickie Fowler,113
113,Brandt Snedeker,113
114,Daniel Summerhays,115
115,Michael Kim,116
116,Brooks Koepka,117
117,Steve Marino,118
118,Jason Kokrak,119
119,Stewart Cink,120
120,Shawn Stefani,120
121,Hiroshi Iwata,122
122,Jordan Spieth,123
123,Ángel Cabrera,124
124,Brendon Todd,125
125,Tyler Aldridge,126
126,Justin Rose,127
127,Ryan Palmer,128
128,Morgan Hoffmann,129
129,Jonas Blixt,130
130,Patrick Rodgers,131
131,Matt Jones,132
132,Robert Streb,133
133,Chad Collins,134
134,Jamie Lovemark,135
135,Bronson Burgoon,136
136,Nick Taylor,137
137,Dustin Johnson,138
138,Hunter Mahan,139
139,Scott Stallings,140
140,Dawie van der Walt,141
141,Charl Schwartzel,142
142,Vijay Singh,143
