,0,1
0,Webb Simpson,1
1,Johnson Wagner,2
2,Louis Oosthuizen,3
3,Ryan Moore,4
4,Tiger Woods,4
5,Alex Cejka,6
6,Seamus Power,7
7,Kevin Na,8
8,Matt Kuchar,9
9,Chris Kirk,10
10,Joel Dahmen,11
11,Brooks Koepka,12
12,Brian Gay,13
13,Rickie Fowler,14
14,Justin Rose,15
15,Ben Crane,16
16,Rory McIlroy,17
17,Patrick Reed,18
18,William McGirt,19
19,Abraham Ancer,20
20,Tyrrell Hatton,21
21,Jim Furyk,21
22,Dustin Johnson,23
23,Justin Thomas,24
24,Jason Day,25
25,Zach Johnson,25
26,Chez Reavie,27
27,Austin Cook,28
28,Nick Taylor,29
29,Alex Noren,30
30,Jordan Spieth,31
31,Andrew Putnam,32
32,Zac Blair,33
33,Tom Hoge,34
34,Rory Sabbatini,35
35,Peter Malnati,36
36,Byeong Hun An,37
37,Cameron Smith,38
38,Aaron Baddeley,39
39,Jamie Lovemark,40
40,Emiliano Grillo,41
41,Steve Wheatcroft,42
42,Kevin Streelman,43
43,Charles Howell III,44
44,Scott Stallings,45
45,Danny Lee,46
46,Hideki Matsuyama,47
47,Henrik Stenson,48
48,Nate Lashley,49
49,Paul Casey,50
50,Bill Haas,51
51,Kevin Kisner,52
52,Wesley Bryan,53
53,Matt Jones,54
54,Ryan Armour,55
55,Bud Cauley,56
56,Brandt Snedeker,57
57,Conrad Shindler,58
58,Beau Hossler,58
59,Chris Stroud,60
60,Graeme McDowell,61
61,Vaughn Taylor,62
62,Bryson DeChambeau,63
63,Denny McCarthy,64
64,Jonathan Randolph,64
65,Lucas Glover,64
66,James Hahn,67
67,Rob Oppenheim,68
68,Talor Gooch,69
69,Russell Knox,70
70,Chad Campbell,71
71,Brian Stuard,72
72,Martin Laird,73
73,Jimmy Walker,74
74,Marc Leishman,75
75,Daniel Berger,76
76,Kelly Kraft,77
77,Dominic Bozzelli,78
78,Fabián Gómez,79
79,Hunter Mahan,80
80,Ben Martin,81
81,Francesco Molinari,82
82,Brice Garnett,83
83,Jhonattan Vegas,84
84,Adam Hadwin,85
85,David Lingmerth,86
86,Whee Kim,87
87,Roberto Díaz,87
88,Shawn Stefani,89
89,Luke List,90
90,Phil Mickelson,91
91,Anirban Lahiri,92
92,Jonathan Byrd,93
93,Jason Dufner,94
94,Xinjun Zhang,95
95,Harold Varner III,96
96,Tyrone Van Aswegen,97
97,Billy Horschel,98
98,Rafa Cabrera Bello,99
99,John Huh,100
100,Charl Schwartzel,101
101,Peter Uihlein,102
102,Harris English,103
103,Xander Schauffele,104
104,Branden Grace,105
105,Martin Piller,106
106,Troy Merritt,107
107,Matt Atkins,107
108,Patrick Cantlay,109
109,Sean O'Hair,110
110,J.T. Poston,111
111,Corey Conners,112
112,"Ted Potter, Jr.",113
113,Blayne Barber,114
114,Ricky Barnes,115
115,Ben Silverman,116
116,Cameron Percy,117
117,Si Woo Kim,118
118,Patrick Rodgers,119
119,Tony Finau,119
120,Jon Rahm,121
121,J.B. Holmes,122
122,Ian Poulter,123
123,Retief Goosen,124
124,Andrew Landry,125
125,Brian Harman,126
126,Ollie Schniederjans,126
127,C.T. Pan,128
128,Robert Garrigus,129
129,Jonas Blixt,130
130,Keegan Bradley,131
131,Kevin Tway,132
132,Stephan Jaeger,133
133,Rod Pampling,134
134,Bubba Watson,135
135,Chesson Hadley,136
136,Keith Mitchell,137
137,Richy Werenski,138
138,Sam Ryder,139
139,Brett Stegmaier,140
140,Kevin Chappell,141
141,Aaron Wise,141
142,Charley Hoffman,143
