,0,1
0,Bob Estes,1
1,Steve Stricker,2
2,Chris Kirk,3
3,Stuart Appleby,4
4,Charles Howell III,5
5,Chris Stroud,6
6,Lee Williams,7
7,Matt Jones,8
8,Ben Crane,9
9,Brian Gay,10
10,Richard Lee,11
11,Matt Kuchar,12
12,K.J. Choi,13
13,Jerry Kelly,14
14,Martin Flores,15
15,Brendon de Jonge,16
16,Steven Bowditch,17
17,Bill Haas,18
18,Bryce Molder,19
19,Cameron Tringale,20
20,Lee Westwood,21
21,Luke Donald,22
22,Erik Compton,23
23,Jonas Blixt,24
24,Ian Poulter,25
25,Roberto Castro,26
26,Mark Wilson,27
27,Jason Day,27
28,Darron Stiles,29
29,Graeme McDowell,30
30,Jordan Spieth,31
31,Keegan Bradley,32
32,Brandt Snedeker,33
33,"Ted Potter, Jr.",34
34,Justin Rose,35
35,Jimmy Walker,36
36,Casey Wittenberg,37
37,David Lynn,38
38,William McGirt,39
39,Patrick Reed,40
40,Cameron Percy,40
41,Jeff Maggert,42
42,Brian Stuard,43
43,Tom Gillis,44
44,Tim Clark,45
45,Tiger Woods,46
46,Charlie Wi,47
47,Chez Reavie,48
48,Fabián Gómez,49
49,George McNeill,49
50,Graham DeLaet,51
51,David Toms,51
52,James Driscoll,53
53,Zach Johnson,54
54,Freddie Jacobson,54
55,Rickie Fowler,56
56,Jim Furyk,57
57,Aaron Watkins,58
58,Scott Langley,59
59,Dicky Pride,60
60,Kevin Streelman,61
61,John Huh,62
62,Troy Matteson,63
63,Greg Chalmers,63
64,Jin Park,65
65,Jeff Overton,66
66,Stephen Ames,67
67,Trevor Immelman,68
68,Daniel Summerhays,68
69,Jason Dufner,70
70,Mike Weir,70
71,Justin Leonard,72
72,Brian Davis,73
73,Hunter Mahan,73
74,Luke Guthrie,75
75,Chad Campbell,76
76,Brian Harman,77
77,Phil Mickelson,78
78,Shawn Stefani,79
79,David Lingmerth,80
80,Kevin Chappell,81
81,Peter Hanson,82
82,Jason Kokrak,83
83,Ernie Els,84
84,Morgan Hoffmann,85
85,Robert Streb,86
86,Webb Simpson,86
87,Andres Romero,88
88,D.H. Lee,89
89,David Hearn,90
90,Rory Sabbatini,91
91,Aaron Baddeley,92
92,John Rollins,93
93,Michael Thompson,93
94,Ryan Moore,95
95,Marc Leishman,96
96,Steve LeBrun,97
97,Tag Ridings,98
98,Sergio Garcia,99
99,Robert Karlsson,100
100,Alistair Presnell,101
101,Henrik Stenson,102
102,Vijay Singh,103
103,Brendan Steele,104
104,Russell Henley,104
105,Justin Bolli,106
106,Vaughn Taylor,107
107,Ken Duke,108
108,Nicholas Thompson,109
109,Y.E. Yang,110
110,Pat Perez,111
111,J.J. Henry,112
112,Padraig Harrington,113
113,Matt Every,113
114,John Merrick,115
115,Colt Knost,116
116,Tim Herron,117
117,D.J. Trahan,118
118,Adam Scott,119
119,Johnson Wagner,120
120,Nick Watney,121
121,Martin Laird,122
122,Camilo Villegas,123
123,Doug LaBelle II,123
124,Harris English,125
125,Ben Kohles,126
126,Rod Pampling,127
127,James Hahn,128
128,D.A. Points,129
129,Scott Brown,130
130,Billy Horschel,131
131,Geoff Ogilvy,132
132,Ryan Palmer,133
133,Ángel Cabrera,134
134,Boo Weekley,135
135,Brad Fritsch,136
136,Bobby Gates,137
137,Henrik Norlander,138
138,Scott Stallings,139
139,Charl Schwartzel,140
140,Ben Curtis,141
141,Greg Owen,142
142,Kevin Stadler,143
