,0,1
0,Brian Gay,1
1,Ian Poulter,2
2,Jim Furyk,3
3,Tiger Woods,4
4,Luke Donald,5
5,Geoff Ogilvy,6
6,Matt Kuchar,7
7,Jason Dufner,8
8,Bud Cauley,8
9,Brandt Snedeker,10
10,Greg Chalmers,11
11,Justin Rose,12
12,David Toms,13
13,Pat Perez,14
14,Billy Mayfair,15
15,Phil Mickelson,16
16,Jonas Blixt,16
17,Chris Stroud,18
18,Jason Day,19
19,Bryce Molder,20
20,Kevin Na,21
21,Rocco Mediate,22
22,David Hearn,23
23,Ernie Els,24
24,Bob Estes,25
25,Ken Duke,26
26,Bill Haas,27
27,J.J. Killeen,28
28,Stuart Appleby,29
29,Carl Pettersson,30
30,Zach Johnson,30
31,Dustin Johnson,32
32,Rory McIlroy,33
33,Steve Stricker,34
34,Scott Piercy,35
35,Billy Horschel,36
36,Aaron Baddeley,37
37,Gavin Coles,38
38,Padraig Harrington,39
39,Kevin Kisner,40
40,Jerry Kelly,41
41,Jeff Overton,42
42,Vijay Singh,43
43,Justin Leonard,44
44,Charlie Wi,45
45,Troy Kelly,46
46,Martin Flores,47
47,Henrik Stenson,47
48,Brian Harman,49
49,Charl Schwartzel,50
50,Brian Davis,51
51,Cameron Tringale,52
52,John Mallinger,53
53,Bill Lunde,54
54,Rory Sabbatini,55
55,Jonathan Byrd,56
56,Webb Simpson,56
57,Kevin Stadler,58
58,Brendon de Jonge,59
59,William McGirt,59
60,Matt Jones,61
61,Nick O'Hern,62
62,Roberto Castro,62
63,Jeff Maggert,64
64,Scott Dunlap,65
65,Ben Curtis,66
66,Matt Every,67
67,Tom Gillis,68
68,Sergio Garcia,69
69,Heath Slocum,70
70,Chris Kirk,71
71,Chris Couch,72
72,Ryan Palmer,73
73,Ryuji Imada,74
74,Marc Leishman,74
75,Russell Knox,76
76,Kevin Streelman,77
77,Jimmy Walker,78
78,Tim Clark,79
79,John Rollins,80
80,Seung-Yul Noh,80
81,Spencer Levin,82
82,Kevin Chappell,83
83,Mark Wilson,84
84,David Mathis,85
85,Graham DeLaet,86
86,Y.E. Yang,87
87,Nathan Green,88
88,J.J. Henry,89
89,Billy Hurley III,90
90,Keegan Bradley,91
91,Freddie Jacobson,92
92,Dicky Pride,93
93,John Senden,94
94,Derek Lamely,95
95,George McNeill,96
96,Ben Crane,97
97,Rod Pampling,98
98,Tim Herron,99
99,Kyle Reifers,100
100,Steve Wheatcroft,101
101,Will Claxton,102
102,Chris DiMarco,103
103,Johnson Wagner,104
104,Mathew Goggin,105
105,Rickie Fowler,106
106,Ryan Moore,107
107,Danny Lee,108
108,Trevor Immelman,109
109,Bubba Watson,110
110,Chez Reavie,111
111,D.A. Points,112
112,Stephen Ames,112
113,Troy Matteson,114
114,Jason Kokrak,115
115,Vaughn Taylor,116
116,Tom Pernice Jr.,117
117,Charles Howell III,118
118,Josh Teater,119
119,Jason Bohn,119
120,Sean O'Hair,121
121,Daniel Summerhays,122
122,Blake Adams,123
123,Andres Romero,124
124,J.B. Holmes,125
125,Martin Laird,125
126,Bobby Gates,127
127,Adam Scott,128
128,Brendon Todd,129
129,Bo Van Pelt,130
130,Patrick Sheehan,131
131,"Ted Potter, Jr.",132
132,Robert Garrigus,133
133,John Huh,134
134,Brendan Steele,135
135,Michael Thompson,136
136,Louis Oosthuizen,137
137,Arjun Atwal,137
138,Gary Christian,139
139,Colt Knost,140
140,Nick Watney,141
141,Hunter Haas,142
142,Richard Lee,143
