,0,1
0,Chad Collins,1
1,Jason Day,2
2,Steven Bowditch,3
3,Jordan Spieth,4
4,Jonathan Byrd,5
5,Zac Blair,6
6,Jerry Kelly,7
7,Sung Joon Park,8
8,Webb Simpson,9
9,Billy Hurley III,10
10,William McGirt,11
11,David Toms,12
12,Matt Kuchar,13
13,John Peterson,14
14,Brandt Snedeker,15
15,K.J. Choi,16
16,Rory Sabbatini,17
17,Jim Furyk,18
18,Kevin Na,19
19,Bryce Molder,20
20,Kevin Kisner,21
21,Brendon Todd,22
22,John Huh,23
23,Will Wilcox,24
24,Henrik Stenson,25
25,Carl Pettersson,26
26,Cameron Tringale,27
27,Patrick Reed,28
28,Ben Crane,29
29,Hideki Matsuyama,30
30,Bill Haas,31
31,Bubba Watson,32
32,Troy Merritt,33
33,Justin Leonard,34
34,Jon Curran,35
35,Harris English,36
36,Justin Thomas,37
37,Mark Hubbard,38
38,Steven Alker,39
39,Kyle Reifers,40
40,Louis Oosthuizen,41
41,Matt Jones,42
42,David Lingmerth,42
43,George McNeill,44
44,Sangmoon Bae,45
45,Luke Donald,46
46,Rickie Fowler,47
47,Aaron Baddeley,48
48,Zach Johnson,49
49,Vijay Singh,50
50,Jason Bohn,51
51,Danny Lee,52
52,Jonathan Randolph,53
53,Ian Poulter,54
54,Scott Brown,55
55,Steve Wheatcroft,56
56,Eric Axley,56
57,Brian Davis,56
58,Daniel Berger,59
59,Ryan Palmer,60
60,Erik Compton,61
61,Alex Cejka,62
62,Mark Wilson,63
63,Chris Kirk,64
64,Ryan Moore,65
65,Brian Stuard,66
66,Martin Laird,67
67,Brendan Steele,68
68,Pat Perez,69
69,Ricky Barnes,69
70,Chris Stroud,71
71,Russell Knox,71
72,Boo Weekley,73
73,Greg Owen,74
74,D.A. Points,75
75,Spencer Levin,76
76,Brian Harman,77
77,Hunter Mahan,78
78,Robert Streb,79
79,Blayne Barber,80
80,Jamie Donaldson,81
81,Johnson Wagner,82
82,Sean O'Hair,83
83,Phil Mickelson,84
84,Retief Goosen,85
85,J.B. Holmes,85
86,Kevin Chappell,87
87,Chad Campbell,88
88,Jhonattan Vegas,89
89,Max Homa,90
90,Brendon de Jonge,91
91,Morgan Hoffmann,92
92,Scott Langley,93
93,Justin Rose,94
94,Michael Putnam,95
95,Camilo Villegas,96
96,Colt Knost,97
97,Jeff Overton,98
98,Martin Flores,99
99,Charley Hoffman,100
100,Fabián Gómez,101
101,Ken Duke,102
102,Nick Watney,103
103,Kevin Streelman,104
104,Scott Piercy,105
105,Tom Hoge,106
106,Jonas Blixt,107
107,James Hahn,108
108,Sergio Garcia,109
109,Adam Hadwin,110
110,Francesco Molinari,111
111,Tim Wilkinson,111
112,Nick Taylor,113
113,Jason Kokrak,114
114,Keegan Bradley,115
115,Tyrone Van Aswegen,116
116,Stewart Cink,117
117,Jim Herman,118
118,Dustin Johnson,119
119,Gonzalo Fernandez-Castaño,120
120,Sam Saunders,121
121,Daniel Summerhays,122
122,Whee Kim,123
123,Jimmy Walker,124
124,Chesson Hadley,125
125,Billy Horschel,126
126,Luke Guthrie,127
127,Bill Lunde,128
128,Derek Fathauer,129
129,Russell Henley,130
130,David Hearn,131
131,Greg Chalmers,132
132,Graham DeLaet,133
133,John Merrick,134
134,Derek Ernst,135
135,Davis Love III,136
136,Padraig Harrington,137
137,Heath Slocum,138
138,Andrew Putnam,139
139,Andres Romero,140
140,Marc Leishman,141
141,Gary Woodland,142
142,Brooks Koepka,143
