,0,1
0,Ian Poulter,1
1,Zac Blair,2
2,Matt Kuchar,3
3,Webb Simpson,4
4,Chad Campbell,5
5,Gonzalo Fernandez-Castaño,6
6,Paul Casey,7
7,Rickie Fowler,8
8,Bill Haas,9
9,John Huh,10
10,Steve Wheatcroft,11
11,Seamus Power,12
12,Chez Reavie,13
13,Jon Rahm,13
14,Brian Harman,15
15,Brandt Snedeker,16
16,Matt Jones,17
17,Louis Oosthuizen,18
18,Pat Perez,18
19,Chad Collins,20
20,Adam Hadwin,21
21,Tim Wilkinson,22
22,Dustin Johnson,23
23,Francesco Molinari,24
24,Charles Howell III,25
25,Camilo Villegas,26
26,Brian Gay,27
27,Rory McIlroy,28
28,Whee Kim,29
29,Kevin Kisner,30
30,Andres Gonzales,31
31,David Hearn,31
32,Nick Taylor,33
33,Jordan Spieth,34
34,Sergio Garcia,35
35,Daniel Berger,36
36,Hideki Matsuyama,37
37,Peter Malnati,38
38,Branden Grace,39
39,Marc Leishman,39
40,Patrick Reed,41
41,Mark Anderson,42
42,Spencer Levin,43
43,Kevin Na,43
44,Alex Cejka,45
45,Martin Laird,46
46,Geoff Ogilvy,47
47,Richy Werenski,48
48,Wesley Bryan,49
49,James Hahn,50
50,C.T. Pan,51
51,Vaughn Taylor,52
52,Jim Furyk,53
53,Justin Thomas,54
54,K.J. Choi,55
55,Cameron Percy,56
56,Retief Goosen,57
57,Lucas Glover,58
58,Brandon Hagy,58
59,Patrick Cantlay,60
60,Tom Hoge,61
61,Morgan Hoffmann,61
62,Ricky Barnes,63
63,Jamie Lovemark,64
64,Charl Schwartzel,65
65,Kevin Streelman,66
66,Phil Mickelson,67
67,Ryan Blaum,67
68,Aaron Baddeley,69
69,Luke Donald,70
70,Zach Johnson,70
71,Rafa Cabrera Bello,72
72,Steven Alker,73
73,Roberto Castro,74
74,Shawn Stefani,75
75,David Lingmerth,76
76,Harris English,77
77,Tony Finau,78
78,Chris Stroud,79
79,Greg Chalmers,80
80,Brett Drewitt,81
81,Seung-Yul Noh,82
82,Bryce Molder,83
83,J.J. Spaun,83
84,Scott Brown,85
85,J.T. Poston,86
86,Keegan Bradley,87
87,Kevin Tway,87
88,Ben Crane,89
89,Nick Watney,90
90,Brendan Steele,90
91,Justin Rose,92
92,Tyrone Van Aswegen,93
93,Robert Streb,94
94,Cameron Tringale,95
95,Michael Kim,96
96,Billy Hurley III,97
97,Michael Thompson,98
98,Fabián Gómez,99
99,Ollie Schniederjans,100
100,Mackenzie Hughes,101
101,Cameron Smith,101
102,Julián Etulain,103
103,Mark Hubbard,104
104,Jonas Blixt,105
105,Ben Martin,106
106,Sam Saunders,107
107,Kyle Reifers,108
108,Adam Scott,109
109,Bud Cauley,110
110,Rory Sabbatini,111
111,Kyle Stanley,112
112,Ryan Armour,113
113,Gary Woodland,114
114,Troy Merritt,115
115,Graeme McDowell,116
116,Hunter Mahan,117
117,Stewart Cink,118
118,Jason Dufner,119
119,Ryo Ishikawa,120
120,Jason Day,121
121,Dominic Bozzelli,122
122,Tag Ridings,123
123,Jhonattan Vegas,124
124,Xander Schauffele,125
125,Russell Knox,126
126,Bryson DeChambeau,127
127,Sean O'Hair,128
128,Jimmy Walker,129
129,Brian Stuard,130
130,Russell Henley,131
131,Jason Bohn,132
132,Ryan Brehm,133
133,Martin Flores,134
134,Sung Kang,135
135,Harold Varner III,136
136,Sebastián Muñoz,137
137,Ryan Palmer,138
138,Kevin Chappell,139
139,Jonathan Randolph,140
140,Ryan Moore,141
141,Brian Campbell,142
142,J.J. Henry,143
