,0,1
0,Tommy Fleetwood,1
1,Webb Simpson,2
2,Patrick Cantlay,3
3,Aaron Baddeley,4
4,Lucas Glover,5
5,Matt Jones,6
6,Sungjae Im,7
7,Ernie Els,8
8,Brian Stuard,9
9,Denny McCarthy,9
10,Jonathan Byrd,11
11,Hideki Matsuyama,12
12,Jim Furyk,13
13,Bud Cauley,14
14,Kiradech Aphibarnrat,15
15,Marc Leishman,16
16,Scott Piercy,17
17,Rory Sabbatini,18
18,Ryan Armour,19
19,C.T. Pan,20
20,Vaughn Taylor,21
21,Si Woo Kim,22
22,Stephan Jaeger,23
23,Jimmy Walker,24
24,Rory McIlroy,25
25,Brandt Snedeker,26
26,Matt Kuchar,26
27,Francesco Molinari,28
28,Patrick Reed,28
29,Wes Roach,30
30,Charles Howell III,30
31,Sam Ryder,32
32,J.T. Poston,33
33,Michael Thompson,34
34,Russell Henley,35
35,Peter Malnati,36
36,Dylan Frittelli,37
37,Anders Albertson,38
38,Roberto Castro,39
39,Bryson DeChambeau,40
40,Henrik Stenson,41
41,Brooks Koepka,42
42,Xander Schauffele,43
43,Graeme McDowell,44
44,Tony Finau,45
45,Justin Rose,46
46,Russell Knox,46
47,Nate Lashley,48
48,Jordan Spieth,49
49,Abraham Ancer,50
50,Zach Johnson,51
51,Daniel Berger,52
52,Pat Perez,53
53,Joey Garber,54
54,Bill Haas,55
55,Brian Gay,56
56,Julián Etulain,57
57,Shawn Stefani,58
58,Billy Horschel,59
59,Justin Thomas,60
60,Wyndham Clark,61
61,J.J. Henry,62
62,Cameron Tringale,63
63,Kevin Kisner,64
64,Martin Laird,64
65,Kevin Tway,66
66,Mackenzie Hughes,66
67,Seamus Power,68
68,Roberto Díaz,69
69,Rickie Fowler,70
70,Nick Taylor,70
71,Cameron Smith,72
72,Scott Brown,73
73,Adam Schenk,74
74,Adam Svensson,75
75,Fabián Gómez,76
76,Jason Kokrak,76
77,Ryan Blaum,78
78,Louis Oosthuizen,79
79,Harris English,80
80,Robert Streb,81
81,Harold Varner III,82
82,Joaquin Niemann,82
83,Richy Werenski,84
84,Kramer Hickok,84
85,José de Jesús Rodríguez,86
86,Andrew Landry,87
87,Talor Gooch,87
88,Cameron Davis,89
89,Brian Harman,90
90,Sung Kang,91
91,Scott Langley,92
92,Kevin Streelman,93
93,Ian Poulter,94
94,Adam Scott,95
95,Chris Stroud,96
96,Jonas Blixt,97
97,Chez Reavie,98
98,Alex Cejka,99
99,Chesson Hadley,100
100,Jon Rahm,101
101,Sam Burns,102
102,Jason Day,102
103,Anirban Lahiri,104
104,J.J. Spaun,105
105,Ben Silverman,106
106,Nick Watney,107
107,Curtis Luck,108
108,Ryan Palmer,109
109,Sam Saunders,110
110,Byeong Hun An,110
111,Josh Teater,112
112,Andrew Putnam,113
113,Tom Hoge,114
114,Ryan Moore,115
115,Rafa Cabrera Bello,116
116,Keegan Bradley,117
117,Danny Lee,118
118,Carlos Ortiz,119
119,Kyle Jones,120
120,Roger Sloan,121
121,Sangmoon Bae,122
122,Kevin Na,123
123,Troy Merritt,124
124,Danny Willett,125
125,Adam Long,126
126,Peter Uihlein,127
127,Paul Casey,128
128,Kyle Stanley,129
129,Dominic Bozzelli,129
130,David Hearn,131
131,Scott Stallings,132
132,Max Homa,133
133,Sebastián Muñoz,134
134,Brice Garnett,135
135,Trey Mullinax,136
136,Brady Schnell,137
137,Dustin Johnson,138
138,Patton Kizzire,139
139,Johnson Wagner,140
140,Chase Wright,141
141,Jim Knous,141
142,Kyoung-Hoon Lee,143
