,0,1
0,Dustin Johnson,1
1,Jordan Spieth,1
2,Jason Day,3
3,Kevin Kisner,4
4,Jonas Blixt,5
5,Adam Hadwin,5
6,Phil Mickelson,5
7,Steve Stricker,8
8,Luke Guthrie,9
9,Jason Bohn,10
10,Ricky Barnes,11
11,Andrew Loupe,11
12,Daniel Summerhays,13
13,Freddie Jacobson,13
14,Hideki Matsuyama,15
15,Bryce Molder,16
16,Ryan Moore,17
17,Brooks Koepka,18
18,Billy Hurley III,19
19,Rory McIlroy,19
20,Aaron Baddeley,19
21,Ryan Palmer,19
22,Stuart Appleby,23
23,Retief Goosen,23
24,Matt Kuchar,25
25,Kevin Na,25
26,Alex Cejka,27
27,Brandt Snedeker,27
28,Troy Merritt,27
29,Jon Curran,27
30,Vaughn Taylor,31
31,Sean O'Hair,32
32,Patrick Reed,33
33,Derek Fathauer,34
34,Spencer Levin,34
35,Peter Malnati,36
36,Smylie Kaufman,36
37,David Hearn,38
38,Charles Howell III,38
39,J.B. Holmes,40
40,Ben Martin,40
41,Cameron Tringale,42
42,Morgan Hoffmann,42
43,Daniel Berger,42
44,Ben Crane,42
45,Ernie Els,42
46,Zach Johnson,42
47,Tim Wilkinson,48
48,Jimmy Walker,48
49,Brian Harman,48
50,Chris Stroud,48
51,Carlos Ortiz,48
52,Wes Roach,48
53,Will Wilcox,54
54,Kyle Reifers,54
55,Anirban Lahiri,54
56,Hiroshi Iwata,57
57,Si Woo Kim,57
58,Seung-Yul Noh,59
59,Patton Kizzire,59
60,Kevin Chappell,61
61,Roberto Castro,62
62,Fabián Gómez,62
63,Marc Leishman,62
64,K.J. Choi,62
65,Michael Kim,62
66,Adam Scott,67
67,Jamie Lovemark,67
68,Matt Jones,69
69,David Lingmerth,69
70,Nick Taylor,71
71,William McGirt,71
72,Michael Thompson,73
73,Colt Knost,73
74,Scott Brown,73
75,Steve Wheatcroft,73
76,Erik Compton,73
77,Justin Rose,73
78,Mark Hubbard,73
79,Vijay Singh,80
80,Rickie Fowler,80
81,Kyle Stanley,80
82,Lucas Glover,83
83,Kelly Kraft,83
84,Dicky Pride,85
85,D.H. Lee,85
86,Graham DeLaet,85
87,Chris Kirk,88
88,Brendon Todd,88
89,Hunter Mahan,88
90,Hudson Swafford,88
91,Tom Hoge,88
92,Cameron Smith,88
93,Justin Thomas,94
94,Jason Gore,94
95,Ken Duke,96
96,Robert Garrigus,96
97,Danny Lee,96
98,Chez Reavie,96
99,Dawie van der Walt,96
100,Billy Horschel,101
101,Brendon de Jonge,101
102,John Senden,103
103,Camilo Villegas,103
104,Sung Kang,103
105,Branden Grace,103
106,Russell Henley,103
107,Henrik Norlander,108
108,Martin Laird,108
109,Webb Simpson,108
110,Padraig Harrington,108
111,George McNeill,108
112,Charl Schwartzel,108
113,Steven Bowditch,114
114,Louis Oosthuizen,114
115,Jason Dufner,114
116,Gary Woodland,114
117,Blayne Barber,114
118,Harris English,119
119,Abraham Ancer,119
120,Tony Finau,119
121,Kevin Streelman,119
122,Bubba Watson,119
123,Charley Hoffman,124
124,Emiliano Grillo,124
125,Martin Piller,126
126,Scott Stallings,126
127,Johnson Wagner,126
128,Jhonattan Vegas,126
129,Chesson Hadley,126
130,Geoff Ogilvy,131
131,Chad Collins,131
132,Graeme McDowell,131
133,Boo Weekley,134
134,Francesco Molinari,134
135,James Hahn,134
136,Brian Stuard,137
137,Sergio Garcia,137
138,D.A. Points,139
139,Tyrone Van Aswegen,139
140,John Huh,139
141,Zac Blair,139
142,Rob Oppenheim,143
