,0,1
0,Phil Mickelson,1
1,Dustin Johnson,1
2,Ricky Barnes,3
3,Justin Thomas,4
4,Jason Day,5
5,Kevin Na,6
6,Peter Malnati,7
7,Brian Gay,8
8,Justin Rose,9
9,Ollie Schniederjans,9
10,Tony Finau,11
11,Rory McIlroy,12
12,Daniel Summerhays,13
13,David Lingmerth,14
14,Chesson Hadley,15
15,Sam Saunders,15
16,Webb Simpson,17
17,John Huh,17
18,Danny Lee,19
19,Zach Johnson,19
20,Brandt Snedeker,21
21,Tiger Woods,22
22,Rickie Fowler,22
23,Whee Kim,22
24,Cameron Smith,25
25,Brandon Harkins,25
26,Tommy Fleetwood,25
27,Ben Martin,25
28,Patrick Reed,29
29,Michael Kim,29
30,Brooks Koepka,31
31,Jon Rahm,31
32,J.T. Poston,31
33,Troy Merritt,31
34,Greg Chalmers,31
35,Wesley Bryan,36
36,Aaron Wise,36
37,Beau Hossler,36
38,Marc Leishman,39
39,Dominic Bozzelli,40
40,Jamie Lovemark,41
41,Tom Hoge,42
42,Emiliano Grillo,43
43,Hideki Matsuyama,43
44,Derek Fathauer,43
45,Johnson Wagner,43
46,Ryan Palmer,43
47,Nick Watney,48
48,Jordan Spieth,48
49,Andrew Landry,50
50,Jimmy Walker,50
51,Alex Cejka,50
52,Austin Cook,50
53,Ben Silverman,54
54,Hunter Mahan,54
55,Billy Horschel,54
56,Zac Blair,57
57,Bryson DeChambeau,57
58,Cody Gribble,59
59,Trey Mullinax,59
60,Grayson Murray,59
61,"Ted Potter, Jr.",59
62,Cameron Percy,63
63,Chris Kirk,63
64,Ryan Blaum,65
65,Scott Brown,66
66,Brian Stuard,66
67,Martin Piller,66
68,Matt Kuchar,66
69,Ben Crane,66
70,Nicholas Lindheim,66
71,Xander Schauffele,72
72,Bud Cauley,72
73,Harris English,74
74,Patton Kizzire,74
75,Martin Laird,74
76,J.B. Holmes,77
77,Matt Jones,77
78,Pat Perez,77
79,Ian Poulter,80
80,Tyrone Van Aswegen,80
81,Kevin Kisner,80
82,Patrick Rodgers,80
83,Mackenzie Hughes,80
84,Brian Harman,85
85,Chez Reavie,85
86,Sung Kang,87
87,Abraham Ancer,87
88,Chris Stroud,89
89,Rob Oppenheim,89
90,Vaughn Taylor,89
91,C.T. Pan,92
92,Anirban Lahiri,92
93,Si Woo Kim,92
94,J.J. Spaun,95
95,Lanto Griffin,95
96,Branden Grace,95
97,Martin Flores,95
98,Billy Hurley III,99
99,Kevin Tway,99
100,Ryan Armour,99
101,Rafa Cabrera Bello,99
102,Bubba Watson,99
103,Tom Lovelady,104
104,Paul Casey,105
105,Brett Stegmaier,105
106,Jason Kokrak,107
107,Michael Thompson,107
108,Rory Sabbatini,107
109,Charley Hoffman,110
110,Stewart Cink,110
111,Ryan Moore,110
112,Talor Gooch,110
113,Denny McCarthy,110
114,Kelly Kraft,115
115,Ethan Tracy,115
116,David Hearn,115
117,D.A. Points,115
118,Sean O'Hair,115
119,Joel Dahmen,115
120,Bronson Burgoon,115
121,Seamus Power,115
122,Jonathan Byrd,123
123,Francesco Molinari,124
124,Matt Every,124
125,Fabián Gómez,124
126,Brice Garnett,124
127,Shawn Stefani,124
128,James Hahn,124
129,Kyle Stanley,130
130,Blayne Barber,130
131,Conrad Shindler,130
132,Patrick Cantlay,130
133,Richy Werenski,134
134,Alex Noren,134
135,Charl Schwartzel,134
136,Charles Howell III,134
137,Aaron Baddeley,134
138,Kiradech Aphibarnrat,139
139,Adam Hadwin,139
140,Russell Henley,139
141,Andrew Putnam,139
142,Keegan Bradley,143
