,0,1
0,Jordan Spieth,1
1,Jason Day,2
2,Dustin Johnson,3
3,Jason Bohn,4
4,Daniel Summerhays,5
5,Morgan Hoffmann,6
6,J.B. Holmes,7
7,Matt Jones,8
8,Danny Lee,9
9,Patrick Reed,9
10,Matt Kuchar,11
11,Rickie Fowler,12
12,Zach Johnson,13
13,Justin Rose,14
14,Justin Thomas,14
15,Phil Mickelson,16
16,Pat Perez,16
17,Ryan Moore,16
18,Brandt Snedeker,19
19,Kevin Na,19
20,Jerry Kelly,21
21,Brendon Todd,21
22,Hideki Matsuyama,21
23,Ricky Barnes,24
24,Chesson Hadley,25
25,Jimmy Walker,26
26,Sean O'Hair,27
27,Aaron Baddeley,27
28,Shawn Stefani,29
29,Charley Hoffman,30
30,Sergio Garcia,30
31,Ian Poulter,32
32,Ryo Ishikawa,32
33,Steve Wheatcroft,32
34,Luke Guthrie,35
35,Robert Streb,36
36,Tom Hoge,36
37,David Hearn,36
38,Colt Knost,36
39,Fabián Gómez,36
40,Bryce Molder,36
41,Jonas Blixt,42
42,David Lingmerth,42
43,Scott Brown,44
44,Greg Chalmers,44
45,Brian Stuard,46
46,Patrick Rodgers,46
47,Nick Taylor,48
48,Steven Bowditch,48
49,Jeff Overton,48
50,Bubba Watson,51
51,Tony Finau,51
52,Russell Henley,51
53,Hudson Swafford,54
54,Brendon de Jonge,54
55,Chris Kirk,56
56,Andres Gonzales,56
57,Whee Kim,56
58,Andrew Putnam,59
59,Kevin Chappell,59
60,Scott Piercy,59
61,Erik Compton,59
62,K.J. Choi,63
63,Carl Pettersson,63
64,David Toms,63
65,Sangmoon Bae,63
66,Chris Stroud,63
67,Harris English,63
68,Brooks Koepka,63
69,James Hahn,70
70,Derek Fathauer,70
71,Brian Harman,72
72,George McNeill,73
73,John Huh,73
74,Andres Romero,75
75,Brendan Steele,75
76,Oscar Fraustro,77
77,Lee Westwood,77
78,Alex Cejka,77
79,Steven Alker,77
80,Carlos Ortiz,77
81,Scott Langley,82
82,William McGirt,82
83,Jason Gore,84
84,Chad Collins,84
85,Blayne Barber,84
86,Will Wilcox,87
87,Justin Leonard,87
88,Nicholas Thompson,89
89,Martin Laird,89
90,Graham DeLaet,89
91,Scott Pinckney,89
92,Troy Merritt,89
93,Zac Blair,94
94,Marc Leishman,94
95,Kevin Kisner,94
96,Seung-Yul Noh,97
97,Cameron Percy,97
98,Paul Casey,97
99,Adam Hadwin,97
100,John Senden,101
101,Ryan Palmer,102
102,Rory Sabbatini,102
103,Jason Kokrak,102
104,Ben Martin,102
105,Michael Thompson,106
106,Brian Davis,106
107,Jon Curran,108
108,Russell Knox,109
109,Mark Wilson,109
110,Eric Axley,109
111,Tim Wilkinson,109
112,Hunter Mahan,109
113,Andrew Svoboda,109
114,Louis Oosthuizen,109
115,Tyrone Van Aswegen,109
116,Nick Watney,117
117,Kyle Reifers,118
118,Scott Stallings,118
119,Max Homa,118
120,Daniel Berger,118
121,Billy Hurley III,122
122,Chad Campbell,122
123,Johnson Wagner,124
124,Keegan Bradley,124
125,Cameron Tringale,124
126,Kevin Streelman,127
127,Camilo Villegas,127
128,Ken Duke,127
129,Chez Reavie,130
130,Billy Horschel,130
131,Jonathan Randolph,130
132,Mark Hubbard,133
133,Boo Weekley,133
134,Retief Goosen,133
135,Henrik Stenson,133
136,Jamie Donaldson,133
137,Jason Dufner,138
138,Charles Howell III,139
139,Matt Every,140
140,John Merrick,141
141,Vijay Singh,141
142,John Peterson,141
