,0,1
0,Jordan Spieth,1
1,Andrew Putnam,2
2,Rory McIlroy,2
3,Dominic Bozzelli,4
4,Wyndham Clark,5
5,Justin Rose,5
6,Justin Thomas,7
7,Vaughn Taylor,8
8,Denny McCarthy,9
9,Patrick Cantlay,10
10,Aaron Baddeley,11
11,Webb Simpson,12
12,Rickie Fowler,12
13,Patton Kizzire,14
14,Nate Lashley,14
15,Troy Merritt,16
16,Si Woo Kim,16
17,Bud Cauley,18
18,Patrick Reed,19
19,Peter Malnati,20
20,Bryson DeChambeau,21
21,Aaron Wise,22
22,Adam Hadwin,22
23,Scott Langley,24
24,Ryan Moore,25
25,Ian Poulter,25
26,Sungjae Im,25
27,Jon Rahm,25
28,Chez Reavie,29
29,Dustin Johnson,29
30,Rory Sabbatini,31
31,Roger Sloan,32
32,Beau Hossler,32
33,Kelly Kraft,34
34,Sam Ryder,35
35,Curtis Luck,35
36,Brandon Harkins,37
37,Cody Gribble,37
38,J.T. Poston,37
39,Ollie Schniederjans,40
40,Xander Schauffele,40
41,Cameron Tringale,40
42,Anirban Lahiri,43
43,Hudson Swafford,43
44,Adam Scott,43
45,Brandt Snedeker,43
46,Ryan Blaum,43
47,Jason Day,48
48,Rafa Cabrera Bello,48
49,Sebastián Muñoz,48
50,Nick Taylor,51
51,Paul Casey,51
52,Scott Piercy,51
53,Matt Kuchar,51
54,Brian Stuard,55
55,Michael Thompson,55
56,Abraham Ancer,55
57,Sam Burns,55
58,David Hearn,59
59,Louis Oosthuizen,60
60,Matthew Fitzpatrick,60
61,Adam Schenk,62
62,Sepp Straka,62
63,Jonas Blixt,62
64,Brooks Koepka,62
65,José de Jesús Rodríguez,66
66,Hideki Matsuyama,66
67,Austin Cook,66
68,Chase Wright,69
69,Ryan Palmer,69
70,Marc Leishman,71
71,Johnson Wagner,71
72,Roberto Díaz,71
73,Cameron Smith,74
74,Tony Finau,74
75,Scott Stallings,74
76,Phil Mickelson,74
77,Pat Perez,74
78,Chris Stroud,79
79,Wes Roach,79
80,Joel Dahmen,81
81,Danny Lee,81
82,Andrew Landry,81
83,Matt Jones,81
84,Graeme McDowell,81
85,Brian Gay,81
86,Sergio Garcia,81
87,Charley Hoffman,88
88,Gary Woodland,88
89,Hank Lebioda,88
90,Richy Werenski,91
91,Brady Schnell,91
92,Sam Saunders,91
93,Kevin Kisner,91
94,Jason Kokrak,95
95,Patrick Rodgers,95
96,Martin Trainer,97
97,Kiradech Aphibarnrat,97
98,Peter Uihlein,97
99,Billy Horschel,97
100,"Ted Potter, Jr.",97
101,Freddie Jacobson,97
102,Lucas Glover,97
103,Daniel Berger,97
104,Joaquin Niemann,97
105,Jonathan Byrd,106
106,Charles Howell III,106
107,Hunter Mahan,108
108,Harris English,108
109,C.T. Pan,110
110,Nick Watney,110
111,Talor Gooch,110
112,Brice Garnett,113
113,Shawn Stefani,114
114,Tyrrell Hatton,114
115,Josh Teater,114
116,Brian Harman,114
117,Zach Johnson,114
118,Kevin Na,114
119,Harold Varner III,114
120,Kevin Streelman,121
121,Stephan Jaeger,122
122,Max Homa,122
123,Mackenzie Hughes,124
124,Bronson Burgoon,125
125,Ryan Armour,125
126,Roberto Castro,127
127,Cameron Davis,128
128,Keith Mitchell,129
129,J.J. Spaun,129
130,Chesson Hadley,129
131,Jhonattan Vegas,129
132,Fabián Gómez,133
133,Byeong Hun An,133
134,Kyoung-Hoon Lee,133
135,Danny Willett,133
136,Trey Mullinax,133
137,Bill Haas,138
138,Sung Kang,139
139,Scott Brown,139
140,Carlos Ortiz,139
141,Dylan Frittelli,142
142,Jim Herman,142
