,0,1
0,Lucas Glover,1
1,Paul Casey,2
2,Adam Scott,3
3,Stewart Cink,4
4,Thomas Aiken,5
5,Jason Dufner,6
6,Sergio Garcia,6
7,Greg Owen,8
8,Russell Knox,9
9,Jhonattan Vegas,10
10,Rory McIlroy,11
11,Keegan Bradley,12
12,Johnson Wagner,13
13,Robert Garrigus,14
14,Rickie Fowler,15
15,Patrick Rodgers,16
16,Kevin Streelman,17
17,Bubba Watson,18
18,Roberto Castro,19
19,Scott Pinckney,20
20,John Senden,21
21,Hudson Swafford,22
22,Gary Woodland,23
23,Charl Schwartzel,24
24,Brendan Steele,25
25,Jason Kokrak,26
26,Emiliano Grillo,27
27,Graham DeLaet,28
28,Jim Furyk,29
29,Russell Henley,29
30,David Hearn,31
31,Henrik Norlander,32
32,Louis Oosthuizen,33
33,Chad Campbell,33
34,Rhein Gibson,35
35,Hideki Matsuyama,35
36,Chez Reavie,37
37,Charles Howell III,38
38,Alex Cejka,39
39,Justin Rose,40
40,Boo Weekley,41
41,Ryan Palmer,42
42,Matt Kuchar,43
43,Dustin Johnson,43
44,Billy Horschel,45
45,Daniel Berger,46
46,Martin Laird,47
47,Kyle Reifers,48
48,J.J. Henry,49
49,Kelly Kraft,50
50,William McGirt,51
51,Scott Piercy,52
52,Jason Day,53
53,Luke List,54
54,Kyle Stanley,54
55,Sean O'Hair,54
56,Bill Haas,57
57,Webb Simpson,57
58,Brooks Koepka,59
59,Brett Stegmaier,60
60,Branden Grace,61
61,Dawie van der Walt,62
62,Blayne Barber,63
63,Ben Martin,64
64,Kevin Na,64
65,Jerry Kelly,66
66,Chris Stroud,67
67,Jason Gore,68
68,Shawn Stefani,69
69,Will MacKenzie,70
70,Kevin Chappell,71
71,Spencer Levin,72
72,Jason Bohn,72
73,Smylie Kaufman,74
74,Harold Varner III,75
75,Bronson Burgoon,75
76,John Huh,77
77,Robert Streb,78
78,Derek Ernst,79
79,Michael Thompson,79
80,Andres Gonzales,81
81,Scott Stallings,82
82,Adam Hadwin,83
83,Phil Mickelson,84
84,Steve Marino,85
85,Nick Taylor,86
86,Ryan Moore,87
87,Ricky Barnes,88
88,Whee Kim,89
89,Brandt Snedeker,90
90,Cameron Tringale,91
91,Jim Herman,92
92,Brendon de Jonge,93
93,Justin Thomas,94
94,Tyler Aldridge,95
95,David Toms,96
96,K.J. Choi,97
97,D.A. Points,98
98,Jamie Lovemark,99
99,Marc Leishman,100
100,Sung Kang,101
101,Chesson Hadley,101
102,Colt Knost,103
103,Kevin Kisner,104
104,J.B. Holmes,105
105,Tony Finau,106
106,Scott Brown,107
107,Mark Wilson,108
108,Francesco Molinari,109
109,Freddie Jacobson,110
110,Brian Harman,111
111,Si Woo Kim,112
112,Harris English,112
113,Tyrone Van Aswegen,114
114,Tim Wilkinson,115
115,Patrick Reed,116
116,Andrew Landry,117
117,Luke Donald,118
118,Charley Hoffman,119
119,James Hahn,119
120,Seung-Yul Noh,121
121,Zach Johnson,122
122,Shane Lowry,123
123,Patton Kizzire,124
124,Graeme McDowell,125
125,Carlos Ortiz,125
126,Vaughn Taylor,127
127,Sam Saunders,128
128,Martin Piller,129
129,Rory Sabbatini,130
130,George McNeill,131
131,Chris Kirk,132
132,Rod Pampling,133
133,David Lingmerth,134
134,Jimmy Walker,135
135,Matt Jones,135
136,Danny Lee,137
137,Scott Langley,138
138,Jeff Overton,139
139,Robert Allenby,140
140,Fabián Gómez,141
141,Geoff Ogilvy,142
142,Ben Crane,143
