,0,1
0,Henrik Stenson,1
1,Steve Stricker,2
2,Graham DeLaet,3
3,Ricky Barnes,4
4,Bubba Watson,5
5,Boo Weekley,6
6,Vijay Singh,7
7,Kevin Stadler,8
8,Justin Rose,9
9,Brendon de Jonge,10
10,Adam Scott,11
11,Justin Hicks,12
12,Nick Watney,13
13,Jim Furyk,14
14,Zach Johnson,15
15,Jim Herman,16
16,J.J. Henry,17
17,D.J. Trahan,18
18,Pat Perez,18
19,Nicholas Thompson,20
20,Bill Haas,21
21,Stewart Cink,22
22,Rory Sabbatini,23
23,Tiger Woods,24
24,Hunter Mahan,25
25,Jason Dufner,26
26,Billy Horschel,27
27,Steve LeBrun,28
28,Sergio Garcia,29
29,John Rollins,30
30,Henrik Norlander,31
31,Kyle Stanley,32
32,Roberto Castro,33
33,Chad Campbell,34
34,Cameron Tringale,35
35,Gary Woodland,36
36,Jordan Spieth,37
37,Nicolas Colsaerts,38
38,Dustin Johnson,39
39,Camilo Villegas,40
40,Chez Reavie,40
41,Charles Howell III,42
42,Phil Mickelson,43
43,Webb Simpson,43
44,John Huh,45
45,Brad Fritsch,46
46,Jeff Maggert,47
47,Eric Meierdierks,48
48,Keegan Bradley,49
49,John Merrick,50
50,Josh Teater,50
51,Richard Lee,52
52,Trevor Immelman,53
53,Kevin Streelman,54
54,Lucas Glover,54
55,Ryan Palmer,56
56,Mark Wilson,56
57,Robert Garrigus,58
58,Michael Bradley,59
59,Kevin Chappell,60
60,Jimmy Walker,61
61,Ryo Ishikawa,62
62,Harris English,63
63,Matt Jones,64
64,Brandt Jobe,64
65,Brendan Steele,66
66,D.H. Lee,67
67,John Senden,68
68,Chris Kirk,69
69,Andrew Svoboda,70
70,K.J. Choi,71
71,Charl Schwartzel,72
72,Matt Kuchar,73
73,Tag Ridings,74
74,Brian Stuard,75
75,Cameron Percy,76
76,Greg Owen,77
77,Will Claxton,78
78,Brandt Snedeker,79
79,Jason Kokrak,80
80,Bo Van Pelt,81
81,Robert Streb,82
82,Matt Every,83
83,Martin Flores,84
84,Charley Hoffman,85
85,Rory McIlroy,86
86,Jerry Kelly,87
87,William McGirt,88
88,George McNeill,89
89,Ben Kohles,90
90,Lee Westwood,91
91,Stuart Appleby,92
92,Erik Compton,93
93,Marc Leishman,94
94,Ángel Cabrera,95
95,Jason Day,96
96,Bob Estes,97
97,Jeff Overton,98
98,Martin Kaymer,99
99,Troy Matteson,100
100,David Hearn,101
101,James Hahn,101
102,Morgan Hoffmann,103
103,Scott Stallings,104
104,Charlie Beljan,105
105,Rod Pampling,106
106,"Ted Potter, Jr.",107
107,Daniel Summerhays,108
108,Jason Bohn,109
109,Dicky Pride,110
110,Doug LaBelle II,111
111,Johnson Wagner,112
112,Chris Stroud,113
113,Ryan Moore,114
114,Seung-Yul Noh,115
115,Russell Henley,116
116,Scott Gardiner,117
117,Scott Brown,118
118,Fabián Gómez,118
119,Scott Langley,120
120,Ben Crane,121
121,Derek Ernst,122
122,Ben Curtis,123
123,James Driscoll,124
124,Patrick Reed,125
125,Bud Cauley,126
126,Sangmoon Bae,127
127,Bryce Molder,128
128,Shawn Stefani,129
129,David Toms,130
130,Martin Laird,130
131,Luke Guthrie,132
132,David Mathis,133
133,Rickie Fowler,134
134,Vaughn Taylor,135
135,Ian Poulter,136
136,Jin Park,137
137,David Lingmerth,138
138,Robert Karlsson,139
139,Justin Leonard,140
140,Ken Duke,141
141,Bobby Gates,142
142,D.A. Points,143
