,0,1
0,Henrik Stenson,1
1,Jim Herman,2
2,Stewart Cink,3
3,Will Wilcox,4
4,Paul Casey,5
5,Francesco Molinari,6
6,Jason Day,7
7,Russell Knox,7
8,Justin Rose,9
9,Lucas Glover,10
10,Alex Prugh,11
11,Michael Putnam,12
12,J.J. Henry,13
13,Jim Furyk,14
14,Chez Reavie,15
15,Adam Scott,16
16,Brooks Koepka,17
17,Billy Horschel,18
18,Bubba Watson,19
19,Greg Owen,20
20,Hideki Matsuyama,21
21,Graham DeLaet,22
22,Robert Streb,23
23,Jason Dufner,24
24,Kevin Streelman,25
25,Johnson Wagner,26
26,Justin Thomas,27
27,Byron Smith,28
28,Jason Bohn,28
29,Daniel Berger,30
30,Bill Haas,31
31,Shawn Stefani,32
32,Bill Lunde,33
33,Ben Martin,34
34,Chad Campbell,35
35,Nicholas Thompson,36
36,Zach Johnson,37
37,Charles Howell III,38
38,Hudson Swafford,39
39,Brendan Steele,40
40,Martin Flores,41
41,John Peterson,41
42,Louis Oosthuizen,43
43,Brice Garnett,43
44,Spencer Levin,45
45,Whee Kim,46
46,David Hearn,47
47,Pat Perez,48
48,Jordan Spieth,49
49,William McGirt,50
50,Mark Wilson,51
51,Rory Sabbatini,52
52,Webb Simpson,53
53,Cameron Percy,54
54,Boo Weekley,55
55,John Merrick,56
56,Tony Finau,57
57,Scott Pinckney,57
58,Sergio Garcia,59
59,Keegan Bradley,60
60,Jason Gore,61
61,Brendon de Jonge,62
62,Colt Knost,63
63,Davis Love III,64
64,Jonathan Byrd,65
65,Nick Watney,66
66,Jason Kokrak,67
67,John Senden,68
68,Russell Henley,69
69,Harris English,70
70,Dustin Johnson,70
71,Kyle Reifers,72
72,Bo Van Pelt,73
73,Carlos Ortiz,74
74,Mark Hubbard,75
75,Ryan Palmer,75
76,Tyrone Van Aswegen,77
77,Patrick Rodgers,77
78,Gary Woodland,79
79,Scott Piercy,80
80,Brian Harman,81
81,Andres Gonzales,81
82,Robert Allenby,81
83,Steven Alker,84
84,Geoff Ogilvy,85
85,Matt Kuchar,85
86,Adam Hadwin,85
87,Derek Ernst,88
88,Lee Westwood,89
89,Blayne Barber,90
90,George McNeill,91
91,Ryo Ishikawa,92
92,Jon Curran,93
93,Martin Laird,94
94,Kevin Kisner,95
95,Vijay Singh,95
96,Charley Hoffman,97
97,James Hahn,98
98,Roberto Castro,99
99,Chad Collins,100
100,Jimmy Walker,101
101,Tom Hoge,102
102,Kevin Chappell,103
103,Jerry Kelly,104
104,Seung-Yul Noh,105
105,Rickie Fowler,106
106,Hunter Mahan,107
107,Ian Poulter,108
108,Alex Cejka,109
109,Jeff Overton,109
110,Danny Lee,111
111,Chris Stroud,112
112,Daniel Summerhays,113
113,Marc Leishman,113
114,Luke Donald,115
115,Zac Blair,116
116,Charlie Beljan,117
117,Brendon Todd,118
118,Bryce Molder,119
119,Jhonattan Vegas,120
120,Michael Thompson,121
121,Billy Hurley III,122
122,Jim Renner,123
123,Ryan Moore,123
124,Sam Saunders,125
125,Scott Brown,126
126,Scott Stallings,127
127,Charl Schwartzel,128
128,Brandt Snedeker,129
129,David Lingmerth,130
130,Ángel Cabrera,131
131,John Huh,132
132,Sung Joon Park,133
133,Scott Langley,134
134,David Toms,135
135,Steve Wheatcroft,136
136,Cameron Tringale,137
137,Kevin Na,138
138,Chris Kirk,139
139,Ernie Els,140
140,Patrick Reed,141
141,Nick Taylor,142
142,Jonathan Randolph,143
