,0,1
0,Martin Flores,1
1,Kyle Stanley,2
2,Paul Casey,3
3,Jordan Spieth,4
4,Ryan Armour,5
5,Lucas Glover,6
6,Cameron Percy,7
7,Sergio Garcia,8
8,Robert Garrigus,9
9,Dustin Johnson,9
10,Gary Woodland,11
11,J.J. Henry,12
12,Patrick Cantlay,13
13,Luke List,14
14,Chad Campbell,15
15,Hideki Matsuyama,16
16,Tony Finau,17
17,Stewart Cink,18
18,Boo Weekley,19
19,Keegan Bradley,20
20,Jon Rahm,21
21,Graham DeLaet,22
22,Hudson Swafford,23
23,Jim Herman,24
24,Justin Rose,25
25,Xander Schauffele,26
26,Bill Haas,27
27,Scott Stallings,28
28,Billy Horschel,28
29,Russell Henley,30
30,Andres Gonzales,31
31,Harold Varner III,32
32,Blayne Barber,33
33,Shane Lowry,34
34,Shawn Stefani,35
35,Richy Werenski,36
36,Ryan Brehm,37
37,Bud Cauley,38
38,Rory Sabbatini,39
39,Chez Reavie,40
40,Francesco Molinari,41
41,Brendan Steele,42
42,C.T. Pan,43
43,Jason Dufner,44
44,William McGirt,45
45,Justin Thomas,46
46,J.J. Spaun,47
47,Brandt Snedeker,48
48,Adam Scott,49
49,Marc Leishman,50
50,Rickie Fowler,51
51,Charles Howell III,52
52,Trey Mullinax,52
53,Emiliano Grillo,54
54,Johnson Wagner,55
55,Rick Lamb,56
56,D.A. Points,57
57,Jason Kokrak,58
58,Julián Etulain,59
59,Scott Piercy,59
60,Brett Stegmaier,61
61,Chris Kirk,62
62,Matt Kuchar,62
63,Vaughn Taylor,64
64,Kevin Streelman,64
65,Daniel Berger,64
66,Charley Hoffman,67
67,Ben Martin,68
68,Russell Knox,69
69,Ryan Palmer,70
70,Alex Cejka,71
71,Nick Watney,72
72,Sean O'Hair,73
73,Branden Grace,73
74,Tyrone Van Aswegen,75
75,Kevin Kisner,75
76,Chris Stroud,77
77,Pat Perez,78
78,Nick Taylor,79
79,Jim Furyk,80
80,Danny Lee,81
81,James Hahn,82
82,Jamie Lovemark,82
83,Sung Kang,84
84,Tom Hoge,85
85,Ollie Schniederjans,86
86,Kyle Reifers,87
87,Jhonattan Vegas,88
88,Tag Ridings,89
89,Martin Laird,90
90,Patrick Rodgers,91
91,John Huh,92
92,Michael Kim,93
93,Ben Crane,93
94,Nicholas Lindheim,95
95,Rory McIlroy,96
96,Seamus Power,96
97,Mark Anderson,98
98,Seung-Yul Noh,99
99,Spencer Levin,100
100,J.T. Poston,101
101,Geoff Ogilvy,102
102,Kevin Na,102
103,Webb Simpson,104
104,Bryson DeChambeau,105
105,Mark Hubbard,106
106,Ryan Blaum,107
107,Smylie Kaufman,108
108,Kevin Chappell,109
109,Sam Saunders,110
110,Louis Oosthuizen,111
111,Robert Streb,112
112,Steven Alker,113
113,Adam Hadwin,114
114,Ryan Moore,115
115,Miguel Angel Carballo,116
116,Troy Merritt,117
117,Brett Drewitt,118
118,Mackenzie Hughes,119
119,Kevin Tway,120
120,David Hearn,120
121,Zac Blair,122
122,Fabián Gómez,123
123,Hunter Mahan,124
124,Brandon Hagy,125
125,Ian Poulter,126
126,Cameron Tringale,127
127,Scott Brown,128
128,Brad Fritsch,129
129,Zach Johnson,129
130,Byeong Hun An,131
131,Rod Pampling,132
132,Tim Wilkinson,133
133,Harris English,134
134,Grayson Murray,135
135,Retief Goosen,136
136,Brian Harman,137
137,Roberto Castro,138
138,Jason Day,139
139,Michael Thompson,140
140,Ken Duke,140
141,Billy Hurley III,142
142,Jimmy Walker,143
