,0,1
0,Dustin Johnson,1
1,Bubba Watson,2
2,Jason Day,3
3,Adam Scott,4
4,J.B. Holmes,5
5,Charlie Beljan,6
6,Tony Finau,7
7,Brooks Koepka,8
8,Patrick Rodgers,9
9,Keegan Bradley,10
10,Jason Kokrak,11
11,Gary Woodland,12
12,Ryan Palmer,13
13,Justin Rose,14
14,Justin Thomas,15
15,Brendan Steele,16
16,Charles Howell III,17
17,Steven Bowditch,18
18,Daniel Berger,18
19,Robert Garrigus,20
20,Jimmy Walker,21
21,Phil Mickelson,22
22,Martin Laird,22
23,Charl Schwartzel,24
24,Lee Westwood,25
25,Sergio Garcia,25
26,Jhonattan Vegas,27
27,Ángel Cabrera,28
28,Charley Hoffman,29
29,Hudson Swafford,29
30,Louis Oosthuizen,31
31,Graham DeLaet,32
32,Carlos Ortiz,33
33,Harris English,33
34,Paul Casey,35
35,Russell Henley,36
36,Robert Streb,36
37,Lucas Glover,38
38,Martin Flores,39
39,Rickie Fowler,39
40,Scott Piercy,41
41,Will Wilcox,42
42,Henrik Stenson,43
43,Shawn Stefani,44
44,Morgan Hoffmann,45
45,Matt Jones,46
46,Andres Romero,47
47,Sean O'Hair,47
48,Alex Prugh,49
49,James Hahn,50
50,Hunter Mahan,50
51,Derek Ernst,50
52,Billy Horschel,53
53,Jamie Donaldson,54
54,Marc Leishman,55
55,Davis Love III,56
56,Hideki Matsuyama,57
57,Andres Gonzales,57
58,Max Homa,59
59,Aaron Baddeley,60
60,Nick Watney,61
61,Jim Herman,62
62,Greg Owen,62
63,Geoff Ogilvy,64
64,Stewart Cink,65
65,Roger Sloan,65
66,Kevin Chappell,67
67,Sam Saunders,68
68,Patrick Reed,69
69,Seung-Yul Noh,70
70,Retief Goosen,71
71,J.J. Henry,72
72,Nick Taylor,72
73,Camilo Villegas,74
74,Tom Hoge,74
75,Boo Weekley,76
76,Byron Smith,77
77,Scott Stallings,78
78,Jordan Spieth,78
79,Ernie Els,80
80,Carl Pettersson,81
81,Bill Haas,82
82,Johnson Wagner,82
83,Chesson Hadley,82
84,Vijay Singh,85
85,Padraig Harrington,86
86,Jason Gore,87
87,Scott Pinckney,88
88,John Senden,89
89,Cameron Percy,90
90,Rory Sabbatini,90
91,Sangmoon Bae,92
92,Kevin Streelman,93
93,Oscar Fraustro,93
94,Bo Van Pelt,93
95,David Lingmerth,93
96,Webb Simpson,97
97,Michael Thompson,98
98,Gonzalo Fernandez-Castaño,98
99,Ryo Ishikawa,100
100,Derek Fathauer,101
101,Michael Putnam,101
102,Blayne Barber,103
103,Matt Kuchar,104
104,Erik Compton,105
105,Brandt Snedeker,105
106,Steve Wheatcroft,107
107,Scott Brown,108
108,Adam Hadwin,108
109,Ben Martin,110
110,John Peterson,110
111,Kyle Reifers,112
112,Brian Harman,113
113,Kevin Kisner,114
114,Bill Lunde,115
115,Jonas Blixt,116
116,Jonathan Byrd,117
117,Jonathan Randolph,118
118,Andrew Svoboda,119
119,Brice Garnett,119
120,Jason Dufner,121
121,Ian Poulter,121
122,Matt Every,123
123,Eric Axley,124
124,Chez Reavie,125
125,George McNeill,126
126,Nicholas Thompson,127
127,Chris Kirk,128
128,Tyrone Van Aswegen,129
129,Brendon de Jonge,130
130,Chad Campbell,131
131,Troy Merritt,131
132,John Merrick,133
133,Jeff Overton,134
134,Pat Perez,135
135,Russell Knox,136
136,Daniel Summerhays,137
137,Luke Guthrie,138
138,Sung Joon Park,139
139,Spencer Levin,139
140,Jim Renner,141
141,Ricky Barnes,141
142,Alex Cejka,141
