,0,1
0,J.B. Holmes,1
1,Dustin Johnson,2
2,Tony Finau,3
3,Bubba Watson,4
4,Andrew Loupe,5
5,Jason Kokrak,6
6,Hudson Swafford,7
7,Luke List,7
8,Rory McIlroy,9
9,Gary Woodland,10
10,Jamie Lovemark,11
11,Ryan Palmer,12
12,Adam Scott,13
13,Jhonattan Vegas,14
14,Jason Day,15
15,Justin Rose,16
16,Charles Howell III,17
17,Robert Garrigus,18
18,Brooks Koepka,19
19,Brendan Steele,20
20,Sean O'Hair,20
21,Harold Varner III,22
22,Rickie Fowler,23
23,Justin Thomas,24
24,Jimmy Walker,24
25,Patrick Rodgers,26
26,Keegan Bradley,27
27,Sergio Garcia,28
28,Harris English,29
29,Smylie Kaufman,30
30,Carlos Ortiz,31
31,Shane Lowry,32
32,Martin Laird,33
33,Daniel Berger,34
34,Lucas Glover,35
35,Charley Hoffman,36
36,Graham DeLaet,37
37,Scott Piercy,37
38,Greg Owen,39
39,Rhein Gibson,40
40,Patrick Reed,41
41,Stewart Cink,42
42,Scott Pinckney,43
43,Charl Schwartzel,44
44,Chesson Hadley,45
45,Kevin Chappell,46
46,Nick Taylor,47
47,Russell Henley,48
48,Branden Grace,48
49,Scott Stallings,50
50,Jordan Spieth,51
51,Brett Stegmaier,52
52,Seung-Yul Noh,52
53,Paul Casey,54
54,Marc Leishman,55
55,Matt Jones,56
56,Hunter Mahan,56
57,Phil Mickelson,56
58,Wes Roach,59
59,Robert Streb,59
60,Andrew Landry,59
61,Andres Gonzales,59
62,Derek Ernst,63
63,Ángel Cabrera,63
64,Hideki Matsuyama,65
65,Morgan Hoffmann,66
66,Emiliano Grillo,67
67,Louis Oosthuizen,68
68,Si Woo Kim,69
69,Jason Dufner,70
70,Bronson Burgoon,71
71,Billy Horschel,72
72,Will Wilcox,73
73,Ernie Els,74
74,Brandt Snedeker,75
75,Scott Brown,76
76,Sung Kang,77
77,Shawn Stefani,78
78,Steve Marino,79
79,Geoff Ogilvy,80
80,Sam Saunders,81
81,Anirban Lahiri,82
82,Aaron Baddeley,82
83,Boo Weekley,84
84,Michael Thompson,85
85,Patton Kizzire,86
86,Jim Herman,87
87,James Hahn,88
88,Thomas Aiken,89
89,Jonas Blixt,90
90,Dawie van der Walt,91
91,Adam Hadwin,92
92,Kelly Kraft,93
93,Vijay Singh,93
94,Brian Harman,95
95,John Senden,95
96,Blayne Barber,97
97,Bill Haas,97
98,Padraig Harrington,97
99,Tom Hoge,100
100,Johnson Wagner,101
101,Luke Guthrie,102
102,Jason Gore,103
103,Kevin Streelman,104
104,Kevin Kisner,105
105,Fabián Gómez,105
106,Steven Bowditch,107
107,Ben Martin,108
108,Hiroshi Iwata,108
109,Retief Goosen,108
110,Derek Fathauer,111
111,Henrik Norlander,112
112,Kyle Stanley,112
113,Tyrone Van Aswegen,114
114,Daniel Summerhays,114
115,Chad Campbell,116
116,Rod Pampling,117
117,Whee Kim,118
118,William McGirt,118
119,Ricky Barnes,118
120,Rory Sabbatini,118
121,Brendon de Jonge,122
122,Kyle Reifers,123
123,Chez Reavie,123
124,J.J. Henry,123
125,Troy Merritt,126
126,Camilo Villegas,127
127,Vaughn Taylor,127
128,Francesco Molinari,129
129,Martin Piller,130
130,Danny Lee,130
131,Cameron Smith,132
132,Webb Simpson,132
133,Chris Stroud,132
134,Steve Wheatcroft,135
135,Chris Kirk,136
136,Russell Knox,137
137,Matt Kuchar,137
138,Scott Langley,139
139,Will MacKenzie,140
140,Tyler Aldridge,141
141,Cameron Tringale,142
142,Jeff Overton,143
