,0,1
0,Cameron Champ,1
1,Rory McIlroy,2
2,Luke List,3
3,Dustin Johnson,4
4,Wyndham Clark,5
5,Bubba Watson,6
6,Seth Reeves,7
7,Trey Mullinax,8
8,Tony Finau,9
9,Cameron Davis,10
10,Brooks Koepka,10
11,Jhonattan Vegas,12
12,Gary Woodland,13
13,Sam Burns,14
14,Byeong Hun An,15
15,J.B. Holmes,16
16,Jason Kokrak,17
17,Ollie Schniederjans,17
18,Phil Mickelson,19
19,Jon Rahm,20
20,Patrick Cantlay,21
21,Sepp Straka,22
22,Brandon Harkins,23
23,Xander Schauffele,24
24,Martin Trainer,25
25,Kevin Tway,25
26,Alex Prugh,27
27,Justin Rose,28
28,Keith Mitchell,28
29,Rickie Fowler,30
30,Hideki Matsuyama,31
31,Charles Howell III,32
32,Aaron Wise,33
33,Bryson DeChambeau,34
34,Sergio Garcia,34
35,Brendan Steele,34
36,Justin Thomas,37
37,Jason Day,38
38,Harold Varner III,38
39,Nick Watney,40
40,Joaquin Niemann,41
41,Danny Lee,42
42,Alex Noren,43
43,Harris English,44
44,Carlos Ortiz,44
45,Daniel Berger,44
46,Adam Schenk,47
47,Sung Kang,48
48,Max Homa,49
49,John Chin,50
50,Sam Saunders,51
51,Patrick Rodgers,52
52,Beau Hossler,53
53,Adam Scott,54
54,Jimmy Walker,55
55,Chase Wright,56
56,Martin Laird,57
57,Sebastián Muñoz,58
58,Tommy Fleetwood,59
59,Ryan Palmer,60
60,Keegan Bradley,61
61,Paul Casey,62
62,Chesson Hadley,63
63,Peter Uihlein,64
64,Talor Gooch,65
65,Corey Conners,66
66,Cody Gribble,67
67,Mackenzie Hughes,67
68,Scott Stallings,69
69,Cameron Tringale,70
70,Patrick Reed,71
71,Tyrrell Hatton,72
72,Dylan Frittelli,73
73,Sangmoon Bae,73
74,Jim Knous,73
75,Dominic Bozzelli,76
76,Louis Oosthuizen,77
77,Marc Leishman,78
78,Lucas Glover,79
79,Bronson Burgoon,79
80,Seamus Power,81
81,Shawn Stefani,81
82,Sungjae Im,81
83,Roger Sloan,84
84,Emiliano Grillo,85
85,Hunter Mahan,85
86,Charley Hoffman,87
87,Jordan Spieth,88
88,Hudson Swafford,88
89,Branden Grace,90
90,Patton Kizzire,91
91,Cameron Smith,92
92,Wes Roach,93
93,Matt Jones,93
94,Hank Lebioda,95
95,Sam Ryder,96
96,Joey Garber,96
97,J.T. Poston,98
98,Danny Willett,98
99,Stephan Jaeger,100
100,Richy Werenski,101
101,Bud Cauley,102
102,Troy Merritt,103
103,Abraham Ancer,103
104,Anders Albertson,105
105,Si Woo Kim,106
106,Kiradech Aphibarnrat,106
107,Joel Dahmen,106
108,Scott Piercy,106
109,Peter Malnati,110
110,Nick Taylor,111
111,Josh Teater,112
112,Adam Long,112
113,Julián Etulain,114
114,Kevin Streelman,114
115,Billy Horschel,114
116,Bill Haas,117
117,Ian Poulter,117
118,Adam Hadwin,119
119,Austin Cook,120
120,Kramer Hickok,120
121,Denny McCarthy,122
122,J.J. Spaun,123
123,Tom Hoge,123
124,Kelly Kraft,125
125,Anirban Lahiri,125
126,José de Jesús Rodríguez,125
127,Fabián Gómez,125
128,Jason Dufner,129
129,Chris Stroud,130
130,Adam Svensson,130
131,Nate Lashley,132
132,Rafa Cabrera Bello,132
133,Kevin Na,132
134,Matt Kuchar,135
135,Rory Sabbatini,136
136,Jonas Blixt,136
137,Curtis Luck,136
138,Ryan Blaum,139
139,Russell Knox,139
140,Kyle Stanley,141
141,J.J. Henry,142
142,Francesco Molinari,143
